text,sentiment,topic,intent,binary
آج موسم بہت خوشگوار ہے۔,positive,other,Feedback,irrelevant
یہ کتاب بہت دلچسپ ہے۔,positive,other,Feedback,irrelevant
میں اپنا فون کھو بیٹھا ہوں۔,negative,other,Complaint,irrelevant
کیا آپ مجھے وقت بتا سکتے ہیں؟,neutral,other,Inquiry,irrelevant
یہ گاڑی بہت تیز چلتی ہے۔,positive,other,Feedback,irrelevant
میں نے کل رات ایک اچھا خواب دیکھا۔,positive,other,Feedback,irrelevant
یہ فلم بہت بورنگ تھی۔,negative,other,Complaint,irrelevant
آج کا دن کیسا رہا؟,neutral,other,Inquiry,irrelevant
یہ کھانا بہت لذیذ ہے۔,positive,other,Feedback,irrelevant
کیا یہ صحیح جگہ ہے؟,neutral,other,Inquiry,irrelevant
میں بخار میں مبتلا ہوں۔,negative,health,Complaint,relevant
کیا آپ دوا کی خوراک بتا سکتے ہیں؟,neutral,health,Inquiry,relevant
ڈاکٹر نے مجھے صحت مند رہنے کا مشورہ دیا۔,positive,health,Feedback,relevant
اس ہسپتال کا عملہ بہت محنتی ہے۔,positive,health,Feedback,relevant
مجھے سر درد ہو رہا ہے۔,negative,health,Complaint,relevant
کیا ہمیں روزانہ ورزش کرنی چاہیے؟,neutral,health,Inquiry,relevant
میرا وزن کم نہیں ہو رہا ہے۔,negative,health,Complaint,relevant
صحت مند غذا صحت کے لیے بہت ضروری ہے۔,positive,health,Feedback,relevant
آج دوا کی دکان بند ہے۔,negative,health,Complaint,relevant
کیا آپ نے اپنے بچوں کو ویکسین لگوا دی؟,neutral,health,Inquiry,relevant
اسکول میں سہولیات کی کمی ہے۔,negative,education,Complaint,relevant
کیا آپ مجھے کتابیں لینے کا طریقہ بتا سکتے ہیں؟,neutral,education,Inquiry,relevant
نئی نصابی کتب بہت معلوماتی ہیں۔,positive,education,Feedback,relevant
یہ اساتذہ کرام بہت قابل ہیں۔,positive,education,Feedback,relevant
مجھے امتحان کے بارے میں تشویش ہے۔,negative,education,Complaint,relevant
کیا اس سال داخلے کی آخری تاریخ بڑھا دی گئی ہے؟,neutral,education,Inquiry,relevant
تعلیم حاصل کرنا ہر بچے کا حق ہے۔,positive,education,Feedback,relevant
یہ کالج بہت مشہور ہے۔,positive,education,Feedback,relevant
طلبہ کو نصابی کتب بروقت نہیں ملتیں۔,negative,education,Complaint,relevant
کیا آپ مجھے کلاس ٹائم ٹیبل دے سکتے ہیں؟,neutral,education,Request,relevant
آبادی کا کنٹرول بہت ضروری ہے۔,neutral,population,Feedback,relevant
کیا ہمارے علاقے میں غربت زیادہ ہے؟,neutral,population,Inquiry,relevant
بڑھتی ہوئی آبادی ایک بڑا مسئلہ ہے۔,negative,population,Complaint,relevant
حکومت کو آبادی کنٹرول کرنے کے اقدامات کرنے چاہئیں۔,positive,population,Request,relevant
یہ آبادی کا شمار صحیح نہیں ہے۔,negative,population,Complaint,relevant
کیا آپ آبادی کے اعداد و شمار فراہم کر سکتے ہیں؟,neutral,population,Inquiry,relevant
لوگوں کو منصوبہ بندی کے فوائد سے آگاہ کیا جائے۔,positive,population,Request,relevant
آبادی میں اضافے کے سنگین نتائج ہو سکتے ہیں۔,negative,population,Feedback,relevant
یہ آبادی کا سروے بہت اہم ہے۔,positive,population,Feedback,relevant
کیا آپ مجھے آبادی کے بارے میں مزید بتا سکتے ہیں؟,neutral,population,Inquiry,relevant
آج موسم بہت خوبصورت ہے۔,positive,other,Feedback,irrelevant
میں نے نیا موبائل خریدا ہے۔,positive,other,Feedback,irrelevant
میرا پالتو جانور گم ہو گیا ہے۔,negative,other,Complaint,irrelevant
کیا آپ مجھے قریب ترین دکان کا پتہ بتا سکتے ہیں؟,neutral,other,Inquiry,irrelevant
یہ پارک بہت خوبصورت بنایا گیا ہے۔,positive,other,Feedback,irrelevant
کل رات میرا کھانا جل گیا۔,negative,other,Complaint,irrelevant
یہ پرانی عمارت بہت پرسکون ہے۔,positive,other,Feedback,irrelevant
کیا آپ مجھے اس راستے کے بارے میں بتا سکتے ہیں؟,neutral,other,Inquiry,irrelevant
یہ خبر بہت افسوسناک ہے۔,negative,other,Feedback,irrelevant
کیا آپ مجھے یہ کام کرنے میں مدد کر سکتے ہیں؟,neutral,other,Request,irrelevant
میرا گلا خراب ہے اور مجھے بخار محسوس ہو رہا ہے۔,negative,health,Inquiry,relevant
اس ہسپتال میں علاج بہت مہنگا ہے۔,negative,health,Complaint,relevant
ڈاکٹر نے دوا کا صحیح وقت بتایا۔,positive,health,Feedback,relevant
کیا مجھے کوئی نئی دوا تجویز کی جا سکتی ہے؟,neutral,health,Request,relevant
ورزش صحت کے لیے بہت ضروری ہے۔,positive,health,Feedback,relevant
اس دوا کا کوئی سائیڈ ایفیکٹ تو نہیں؟,neutral,health,Inquiry,relevant
میں آپ کی طبی سہولیات سے بہت مطمئن ہوں۔,positive,health,Feedback,relevant
فالج کے مریضوں کے لیے یہ علاج بہت کارآمد ہے۔,positive,health,Feedback,relevant
مجھے دوائی کی خوراک کے بارے میں پوچھنا تھا۔,neutral,health,Inquiry,relevant
اس ہسپتال میں صفائی کا انتظام بہتر ہونا چاہیے۔,negative,health,Complaint,relevant
