HOSPITAL NAME,CITY
Al Kareem Hospital,Nankana-Sahib
Dhq Hospital Nankana,Nankana-Sahib
Basic Health Unit Hospital,Nankana-Sahib
Umar Hospital,Nankana-Sahib
Iftikhar Orthopedic & Gynae Hospital Nankana Sahib,Nankana-Sahib
Civil Hospital,Nankana-Sahib
Dr Aslam Falaj Clinic,Pindi-Bhattian
Al Baseer Trust Hospital,Pindi-Bhattian
Hussain Tariq Surgical Hospital Pindi Bhattian,Pindi-Bhattian
Sheharyar Medical Clinic,Qila-Saifullah
Physio Optimum Clinic,Rahim-Yar-Khan
Al-Huda Laser Eye Center,Rahim-Yar-Khan
Dr Nasir Surgical Clinic,Rahim-Yar-Khan
Hamdani Hospital,Rahim-Yar-Khan
The Children Complex Hospital,Rahim-Yar-Khan
Shaikh Zaid Medical College And Hospital,Rahim-Yar-Khan
Abdullah Neurosurgery Clinic,Rahim-Yar-Khan
Faiz Eye Center,Rahim-Yar-Khan
Khattak Medical Complex Hospital,Rahim-Yar-Khan
Lala Medical Complex Hospital,Rahim-Yar-Khan
Rehmat Clinic & Diagnostic Center,Rahim-Yar-Khan
Fatima Medicare Hospital,Rahim-Yar-Khan
Ryk Hospital,Rahim-Yar-Khan
The Mind Clinic For Psychological Services,Rahim-Yar-Khan
Mukhtar Ortho Clinic,Rahim-Yar-Khan
Signature Skin And Laser Clinic,Rahim-Yar-Khan
(Ryk) Rahim Yar Khan Hospital,Rahim-Yar-Khan
Healthy Mindcare Centre,Rahim-Yar-Khan
Bilqees Memorial Hospital,Rahim-Yar-Khan
Shahjahan Clinic,Rahim-Yar-Khan
Tahir Physiotherapist Clinic,Rahim-Yar-Khan
Sajid Surgical Hospital,Rahim-Yar-Khan
Amir Ortho Clinic,Rahim-Yar-Khan
New Hamza Hospital,Rahim-Yar-Khan
Amna Jamal Medical Complex Hospital,Rahim-Yar-Khan
Al Basarat Hospital,Rahim-Yar-Khan
Al Hayat Hospital,Rahim-Yar-Khan
Dr Afzal Sheikh Clinic,Rahim-Yar-Khan
Shaf Clinic,Rahim-Yar-Khan
Zainab Hospital,Rahim-Yar-Khan
Alrehman Clinic,Rahim-Yar-Khan
Pakistan Medical Centre,Rahim-Yar-Khan
Al Rahman Clinic,Rahim-Yar-Khan
Nisar Medical Complex Hospital,Rahim-Yar-Khan
Health Solutions Hospital,Rahim-Yar-Khan
Azam Clinic,Rahim-Yar-Khan
Huzaifa Clinic,Rahim-Yar-Khan
Haris Children Clinic,Rahim-Yar-Khan
Qasim Hospital (Health Card),Rahim-Yar-Khan
Fatima Skin & Laser Clinic,Rahim-Yar-Khan
Muslim Clinic,Rahim-Yar-Khan
Qazi Shafiq Ahmed Memorial Clinic,Rahim-Yar-Khan
Umer Clinic,Rahim-Yar-Khan
Al-Saeed Medical Complex Hospital,Rahim-Yar-Khan
Shahab Dental Clinic,Rahim-Yar-Khan
Fareed Ud Din Clinic,Rahim-Yar-Khan
Aleesha Dental Clinic,Rahim-Yar-Khan
Shifa Welfare Hospital,Rahim-Yar-Khan
Fatima Medical Center & Clinical Lab,Rahim-Yar-Khan
Muslim Clinic And Laboratory,Rahim-Yar-Khan
Waleed Dental Clinic,Rahim-Yar-Khan
Smile Dental Care Hospital,Rahim-Yar-Khan
Abdullah & Amna Medical Complex Hospital,Rahim-Yar-Khan
Family Hospital,Rahim-Yar-Khan
Noor Hospital,Rahim-Yar-Khan
Shifa General Clinic,Rahim-Yar-Khan
Dr Irfan Ahmed Clinic Ryk,Rahim-Yar-Khan
Sayyad Clinic,Rahim-Yar-Khan
Azad Medical Complex Hospital,Rahim-Yar-Khan
Hameed Hospital,Rahim-Yar-Khan
Masood Ahmad Clinic,Rahim-Yar-Khan
Al Azeez Hospital,Rahim-Yar-Khan
Al Jannat Medi Care Hospital,Rahim-Yar-Khan
Dr Masood Clinic,Rahim-Yar-Khan
Dr. Kaynat Physiotherapy Skin & Laser Clinic,Rahim-Yar-Khan
National Hospital And Cardiac Complex,Rahim-Yar-Khan
Relax Homeo Clinic,Rahim-Yar-Khan
Daar Us Salam Medical Center,Rahim-Yar-Khan
Hamza Medicare Hospital,Rahim-Yar-Khan
Healthcare Physiotherapy & Aesthetic Centre,Rahim-Yar-Khan
Dental Care & Implant Clinic Rahim Yar Khan,Rahim-Yar-Khan
Neurology Center,Rahim-Yar-Khan
Abdullah Neuro Surgery Clinic,Rahim-Yar-Khan
Al Shifa Physiotherapy Clinic,Rahim-Yar-Khan
Al-Noor Hospital And Eye Complex,Rahim-Yar-Khan
Clear Vision Eye Clinic And Optical Center,Rahim-Yar-Khan
Hafeez Eye Hospital,Rahim-Yar-Khan
Ismail Hospital,Rahim-Yar-Khan
Kamran Hospital,Rahim-Yar-Khan
Pastuna Medical Complex Hospital,Rahim-Yar-Khan
Rabbani Medical Complex Hospital,Rahim-Yar-Khan
Sadia Omer Clinic,Rahim-Yar-Khan
Tahir Heart Clinic,Rahim-Yar-Khan
Moosa Skin & Laser Clinic,Rahim-Yar-Khan
Rehman Family Hospital,Rahim-Yar-Khan
Al Rehman Hospital & Ultrasound Center,Rahim-Yar-Khan
Dental Zone Clinic,Rahim-Yar-Khan
Fouji Foundation Hospital,Rahim-Yar-Khan
Harris Hospita Hospital,Rahim-Yar-Khan
Harris Hospital,Rahim-Yar-Khan
Sheikh Zayed Hospital,Rahim-Yar-Khan
Naveed Clinic,Rahim-Yar-Khan
Al Riaz Homeopathic Clinic,Rahim-Yar-Khan
Hamdani Hospital Rahimyar Khan,Rahim-Yar-Khan
Hospital Road,Rahim-Yar-Khan
24/B Hospital,Rahim-Yar-Khan
4-Model Town Hospital,Rahim-Yar-Khan
Abdullah Hospital,Rahim-Yar-Khan
Abu Zahbi Road Hospital,Rahim-Yar-Khan
Alnoor Hospital,Rahim-Yar-Khan
C-19 Hospital,Rahim-Yar-Khan
Iqbal Medical Complex Khan Bela Hospital,Rahim-Yar-Khan
Iqbalabad Hospital,Rahim-Yar-Khan
Junaid Medicare Hospital,Rahim-Yar-Khan
Khan Plaza Chowk Hospital,Rahim-Yar-Khan
Rahim Yar Khan Diagnostic Hospital,Rahim-Yar-Khan
Shafqat Clinic,Rahim-Yar-Khan
Shahid Park Hospital,Rahim-Yar-Khan
Usman Eye Clinic,Rahim-Yar-Khan
Mukhtar Medicares Hospital,Rahim-Yar-Khan
Al Murtaza Hospital,Rahim-Yar-Khan
Alshifa Children Hospital,Rahim-Yar-Khan
Bakhtawar Memorial Hospital,Rahim-Yar-Khan
Al Muslim Hospital,Rahim-Yar-Khan
Osama Poly Clinic,Rahim-Yar-Khan
Hashmi Homeopathic Clinic,Rahim-Yar-Khan
Chest Clinic,Rahim-Yar-Khan
Prof. Dr. Irfan Ahmad (Gastroentrologist) Hospital,Rahim-Yar-Khan
Waseem Dental Clinic,Rahim-Yar-Khan
Hamza Homeo Clinic And Research Center,Rahim-Yar-Khan
Mjs Fitness Clinic,Rahim-Yar-Khan
Al Khidmat Medical Complex Hospital,Rahim-Yar-Khan
Ghazala Dental Clinic,Rahim-Yar-Khan
Mahmood Physiotherapy Clinic,Rahim-Yar-Khan
Speech Therapy Clinic,Rahim-Yar-Khan
Rehman Hopsital Hospital,Rahim-Yar-Khan
Dr Zain Ali Clinic,Renala-Khurd
Al-Abeer Medical Center,Riyadh
Reet Color Doppler Ultrasound Hospital,Shahdadpur
Health Care Center,Shahkot
Ahmed Medical Center,Shahkot
Maqsood Dental Clinic,Shahkot
Liaqat Children And Medical Center Shahkot,Shahkot
Javed Medical Center Hazara,Swat
Thq Hospital Kabal Swat,Swat
Yameen Medical Center Kabal,Swat
Hassan Medical Complex Hospital,Swat
Hassan Medical Complex Kabal Swat. Hospital,Swat
"Upper Swat General Hospital, Khwaza Khela Swat",Swat
Ashfaq Neuro Psychiatric & General Hospital,Swat
Sherzada Medical Center,Swat
Sher Zada Medical Center,Swat
"Shifa Medical Center (Matta Chowk, Swat)",Swat
Ibrahimi Hospital,Swat
Swat Institute Of Rehabilitation & Medical Sciences Hospital,Swat
Professor Said Khetab Orthopedic And Medical Center,Swat
Al Khair Medical Center,Swat
The Best Skin & Laser Clinic,Swat
Ali Homoeopathic General Hospital And Research Center,Swat
Sikandar Medical Infirmary Hospital,Swat
Bharosa Health Care Center,Swat
Mir Khel Medical And Surgical Plaza Hospital,Swat
Zaman Dental Care Hospital,Swat
Jalil International Hospital,Swat
Umer Family Hospital,Swat
Azeem Homeopathic Clinic,Swat
Hazara Medical Centre,Swat
Dr. Muhammad Hasnain Dental Clinic,Swat
Luqman International Hospital,Swat
Dr Ihsan Ullah Clinic,Swat
Roshan Specialised Hospital,Swat
