Name,Area_Type,District_City
Aaliwala,Town,Dera Ghazi Khan
Abba khel,Village,Mianwali
Abbasian Wala,Village,Bhakkar
Abbottabad,City,Abbottabad
Abdul Hakeem,City,Khanewal
Achh,Village,Gujrat
Adamke,Village,Sialkot
Addepur,Village,Sahiwal
Addowal,Town,Gujrat
Adhi Kot,Village,Khushab
Adiala,Village,Rawalpindi
Adrana,Village,Jhelum
Agra,Town,Sahiwal
Ahla,Village,Mandi Bahauddin
Ahmadabad,Town,Okara
Ahmed Nager Chatha,Town,Gujranwala
Ahmedabad,Village,Jhelum
Ahmedpur East,City,Bahawalpur
Ahmedpur Sial,City,Jhang
Aima Bari,Village,Jhelum
Ajjowal,Village,Mandi Bahauddin
Ajnala,Town,Gujrat
Akhori,Village,Attock
Alamgarh,Town,Gujrat
Ali Pur Chatta,Town,Gujranwala
Aliabad,City,Hunza
Aligarh,Town,Toba Tek Singh
Alipur Chatha,City,Gujranwala
Alluwali,Village,Mianwali
Alpa Kalan,Town,Kasur
Alpuri,City,Shangla
Ambar,Village,Swabi
Aminpur,City,Faisalabad
Amra Kalan,Village,Gujrat
Anga,Village,Khushab
Angadpura,Village,Toba Tek Singh
Angakiri,Village,Vehari
Arain Abad,Village,Jhelum
Arazi Hasnal,Village,Rawalpindi
Arbianwala,Village,Chiniot
Arifwala,City,Pakpattan
Arjun Singhwali,Village,Okara
Arra,Village,Chakwal
Arrar,Village,Chakwal
Asghari,Town,Sahiwal
Atari,Town,Khanewal
Athara Hazari,City,Jhang
Athmuqam,City,Athmuqam
Atma Singh,Village,Gujrat
Attock,City,Attock
Awaran,City,Awaran
Baddo,Village,Mandi Bahauddin
Baddoke Cheema,Village,Sialkot
Baddomalhi,City,Narowal
Badin,City,Badin
Badlot,Village,Jhelum
Badnian,Village,Rawalpindi
Bagh,City,Bagh
Baghiana Kalan,Village,Kasur
Bagrianwala,Town,Gujrat
Bahadur Garh,Town,Dera Ghazi Khan
Bahadurpura,Town,Kasur
Baharwal,Town,Gujrat
Bahawalnagar,City,Bahawalnagar
Bahawalpur,City,Bahawalpur
Bairi,Village,Sialkot
Bait Bakhtiari,Village,Bahawalpur
Bajarwala,Village,Gujrat
Bakhar Bar,Village,Sargodha
Balianwala,City,Chiniot
Balkassar,Village,Chakwal
Balloki,Village,Kasur
Balokassar,Village,Chakwal
Ban Hafiz Jee,Village,Mianwali
Bandial Janubi,Village,Khushab
Banga,Village,Faisalabad
Bangla Manthar,Town,Rahim Yar Khan
Bannu,City,Bannu
Bareela,Town,Gujrat
Barkhan,City,Barkhan
Barnali,Village,Gujrat
Baroo,Town,Gujrat
Barthi,Town,Dera Ghazi Khan
Basal,Village,Attock
Basharat,Village,Chakwal
Bashera,Village,Sahiwal
Basia,Village,Attock
Basra,Village,Chakwal
Basti Babbar,Town,Bahawalpur
Basti Buzdar,Town,Dera Ghazi Khan
Basti Dhandlah,Town,Bahawalpur
Basti Fauja,Town,Dera Ghazi Khan
Basti Malana,Town,Dera Ghazi Khan
Basti Nari,Town,Bahawalpur
Bathou,Village,Attock
Bator,Village,Gujrat
Battagram,City,Battagram
Bazidpur,Town,Kasur
Bazurgwal,Village,Gujrat
Begal,Village,Chakwal
Begowala,Town,Sialkot
Beharaj,Town,Gujrat
Beharwal Kalan,Village,Kasur
Behlolpur,Town,Gujrat
Berianwali,Village,Okara
Bhaddar,Village,Gujrat
Bhagiwal,Town,Kasur
Bhago,Village,Gujrat
Bhagot,Village,Sialkot
Bhagwal,Village,Chakwal
Bhakkar,City,Bhakkar
Bhalwal,City,Sargodha
Bhamba Kalan,Town,Kasur
Bharpur,Village,Chakwal
Bhaun,Town,Chakwal
Bhedian Kalan,Town,Kasur
Bheen,Village,Chakwal
Bhelowal,Village,Jhelum
Bhera,City,Sargodha
Bhikhi,Town,Mandi Bahauddin
Bhikhi Khurd,Village,Sargodha
Bhilomar,Village,Chakwal
Bhindar Kalan,Village,Mandi Bahauddin
Bhoanj,Village,Jhelum
Bhoe Asal,Town,Kasur
Bhong,Town,Rahim Yar Khan
Bhoun,Village,Chakwal
Bidher,Village,Chakwal
Bido Bhatti,Village,Gujrat
Bijar,Village,Khushab
Bilasur,Town,Toba Tek Singh
Bilochwala,Town,Lahore
Bishan Daur,Village,Jhelum
Bismillapur,Town,Lahore
Bohge,Village,Kasur
Boken,Village,Rawalpindi
Boota,Village,Attock
Botala,Village,Khushab
Buchal Kalan,Village,Chakwal
Bucheki,City,Nankana Sahib
Budhial,Village,Chakwal
Bunga Hayat,Town,Pakpattan
Burewala,City,Vehari
Burj Jeway Khan,Town,Okara
Chahal,Village,Kasur
Chak 104 NB,Village,Sargodha
Chak 217 GB,Village,Faisalabad
Chak 285 JB,Village,Toba Tek Singh
Chak 3,Village,Sargodha
Chak 38 3R,Village,Bahawalnagar
Chak 40 GB,Village,Sahiwal
Chak 44/12.L,Village,Sahiwal
Chak 571/EB,Village,Vehari
Chak 667/8 GB,Village,Toba Tek Singh
Chak 720 GB,Village,Toba Tek Singh
Chak Fourteen MB,Village,Khushab
Chak Jamal,Village,Jhelum
Chak Jani,Town,Jhelum
Chak Khasa,Village,Jhelum
Chak Malook,Village,Chakwal
Chak Manju,Town,Gujrat
Chak No. 69/EB Ugroo,Village,Pakpattan
Chak No.21/MB,Village,Khushab
Chak Shadi,Village,Jhelum
Chak Umra,Village,Chakwal
Chak no 7/p,Village,Rahim Yar Khan
Chakbasawa,Town,Mandi Bahauddin
Chakchohdu village,Village,Sialkot
Chaklala,Town,Rawalpindi
Chakora,Village,Chakwal
Chakori Bhalowal,Town,Gujrat
