HOSPITAL NAME,CITY
Al-Abeer Medical Center,Riyadh
Huma Hospital,Kayseri
Baskent University Hospital,Konya
Yeditepe University Hospital,Istanbul
Memorial Hizmet Hospital,Istanbul
Turkish Kidney Foundation Hospital Services,Istanbul
Bakirkoy Psychiatric Hospital,Istanbul
Liv Hospital Group,Istanbul
Memorial Hospital Ankara,Istanbul
Health Line Hospital,Istanbul
Istinye Universite Hospital,Istanbul
Mediheal Hospital,Istanbul
Anadoglu Medical Center,Istanbul
Acibadem Hospital,Istanbul
Ozel Net Goz Merkezi (Specialized Eye Center),Istanbul
Medistate Kavacik Hospital,Istanbul
Top Clinic Turkey,Istanbul
Florence Nightingale Hospital,Istanbul
Istanbul Cerrahi Hospital,Istanbul
Ozel American Hospital,Istanbul
Surp Agop Hospital,Istanbul
Okan University Hospital,Istanbul
Hisar Hospital Intercontinental,Istanbul
Baåÿkent University Hospital,Izmir
Netgoz Eye Hospital,Izmir
Al-Shifa Medical Center,Bajaur-Agency
